173
30.67,104.06,1
30.88,104.32,1
30.57,104.94,1
30.2,103.29,1
30.8,103.86,1
30.82,104.13,1
26.9,102.15,1
26.9,101.56,1
30.97,103.81,1
31.04,103.61,1
30.99,103.94,1
31.13,104.16,1
30.99,104.25,1
30.42,103.78,1
30.42,103.47,1
30.58,103.53,1
30.63,103.69,1
31.48,104.73,1
31.8,104.7,1
32.59,105.21,1
32.42,104.52,1
32.44,105.86,1
32.25,106.33,1
32.03,105.45,1
31.64,105.16,1
31.1,105.06,1
31.23,105.35,1
30.9,105.31,1
30.52,105.58,1
30.78,105.74,1
31.06,104.68,1
31.13,104.37,1
31.32,104.19,1
31.64,104.41,1
31.89,104.44,1
29.59,105.04,1
30.3,105.02,1
30.12,105.3,1
29.57,104.7,1
29.81,104.85,1
30.19,104.6,1
30.38,104.53,1
29.64,105.25,1
29.77,104.56,1
29.24,104.97,1
28.87,104.96,1
28.71,105.06,1
28.77,105.38,1
28.96,105.46,1
28.79,105.78,1
28.91,105.39,1
28.03,105.79,1
28.19,105.44,1
28.6,104.91,1
28.36,105.06,1
28.38,104.81,1
28.4,104.52,1
28.16,104.53,1
28.68,104.15,1
29.59,103.73,1
29.75,103.59,1
29.95,103.38,1
30.04,103.53,1
29.86,103.81,1
30.05,103.81,1
30.22,103.83,1
29.67,104.06,1
30,104.09,1
29.21,103.93,1
28.96,103.98,1
29.62,103.5,1
28.87,103.53,1
29.23,103.25,1
29.24,103.13,1
29.7,107.36,1
30.36,107.34,1
29.89,107.7,1
29.98,108.13,1
28.47,108.97,1
28.85,108.75,1
29.53,108.81,1
29.29,108.19,1
29.29,108.72,1
29.15,107.13,1
30.83,108.35,1
31.23,108.39,1
31.98,108.67,1
31.42,109.6,1
31.1,109.86,1
31.06,109.52,1
30.99,108.89,1
30.33,108.03,1
30.66,107.78,1
30.8,106.06,1
31.75,105.96,1
31.75,105.97,1
31.52,106.38,1
31.34,106.03,1
31.01,105.84,1
31.07,106.57,1
31.04,106.44,1
30.48,106.61,1
30.55,106.43,1
30.38,106.3,1
30.41,106.74,1
31.23,107.49,1
32.07,108.06,1
31.39,107.71,1
31.1,107.87,1
30.36,106.91,1
30.75,107.21,1
30.85,106.94,1
32.36,106.83,1
31.86,106.73,1
31.59,107.11,1
31.95,108.24,1
32,108.18,1
29.97,102.97,1
30.17,102.91,1
30.09,103.06,1
29.79,102.81,1
29.4,102.66,1
29.21,102.38,1
30.09,102.78,1
30.36,102.84,1
31.92,102.22,1
31.79,102.55,1
31.93,101.72,1
33.62,102.94,1
32.06,102.95,1
32.64,103.61,1
33.23,104.19,1
31.46,103.61,1
31.42,103.16,1
30.97,102.34,1
31.48,102.03,1
32.3,100.97,1
31.67,103.89,1
30.04,101.95,1
31.38,100.65,1
31.64,99.96,1
30.96,100.28,1
32.23,98.83,1
31.81,98.57,1
33.01,98.06,1
32.3,100.35,1
29.92,102.25,1
30.85,101.87,1
29.01,101.53,1
30.03,101,1
30.99,101.14,1
30.03,100.28,1
28.93,99.78,1
29.04,100.31,1
30,99,1
28.71,99.25,1
27.92,102.29,1
28.03,102.83,1
28.96,102.74,1
28.21,103.62,1
27.07,102.76,1
26.74,102.55,1
26.67,102.21,1
27.4,102.15,1
28.33,103.14,1
27.73,103.22,1
27.7,102.8,1
27.38,102.52,1
28.33,102.42,1
28.66,102.49,1
27.42,101.51,1
28.58,102.15,1
27.9,101.25,1
